,Unnamed: 0,Date and Time,Temperature,Humidity,Wind_Speed,Wind_Direction,Pressure,Weather_Description,Year,Month,Day,Hour,Year Temp Max,Year Temp Min,Year Temp Average,Month Temp Max,Month Temp Min,Month Temp Average,Year Pressure Max,Year Pressure Min,Year Pressure Average,Month Pressure Max,Month Pressure Min,Month Pressure Average,Year Wind_Speed Max,Year Wind_Speed Min,Year Wind_Speed Average,Month Wind_Speed Max,Month Wind_Speed Min,Month Wind_Speed Average,Year Humidity Max,Year Humidity Min,Year Humidity Average,Month Humidity Max,Month Humidity Min,Month Humidity Average
28022,28476,2016-01-01 00:00:00,277.207398844,61.0,3.0,280.0,1016.0,light rain,2016,1,1,0,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28023,28477,2016-01-01 01:00:00,276.76,59.0,3.0,280.0,1016.0,light rain,2016,1,1,1,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28024,28478,2016-01-01 02:00:00,276.132549249,79.0,4.0,275.0,1022.0,light rain,2016,1,1,2,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28025,28479,2016-01-01 03:00:00,275.87,69.0,3.0,280.0,1016.0,light rain,2016,1,1,3,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28026,28480,2016-01-01 04:00:00,275.68,64.0,2.0,270.0,1016.0,light rain,2016,1,1,4,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28027,28481,2016-01-01 05:00:00,275.675521859,64.0,2.0,269.0,1016.0,light rain,2016,1,1,5,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28028,28482,2016-01-01 06:00:00,275.43,64.0,3.0,240.0,1015.0,overcast clouds,2016,1,1,6,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28029,28483,2016-01-01 07:00:00,275.14,69.0,1.0,250.0,1015.0,light rain,2016,1,1,7,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28030,28484,2016-01-01 08:00:00,275.062776866,71.0,1.0,250.0,1016.0,light rain,2016,1,1,8,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28031,28485,2016-01-01 09:00:00,275.06,64.0,2.0,270.0,1015.0,broken clouds,2016,1,1,9,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28032,28486,2016-01-01 10:00:00,274.82,64.0,2.0,260.0,1015.0,few clouds,2016,1,1,10,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28033,28487,2016-01-01 11:00:00,274.62,69.0,2.0,240.0,1014.0,overcast clouds,2016,1,1,11,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28034,28488,2016-01-01 12:00:00,274.24,64.0,2.0,260.0,1015.0,broken clouds,2016,1,1,12,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28035,28489,2016-01-01 13:00:00,274.38,69.0,2.0,230.0,1015.0,overcast clouds,2016,1,1,13,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28036,28490,2016-01-01 14:00:00,275.52,64.0,5.0,264.0,1015.0,overcast clouds,2016,1,1,14,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28037,28491,2016-01-01 15:00:00,276.14,59.0,3.0,230.0,1015.0,light rain,2016,1,1,15,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28038,28492,2016-01-01 16:00:00,276.84,55.0,6.0,280.0,1014.0,light rain,2016,1,1,16,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
28039,28493,2016-01-01 17:00:00,276.97,55.0,5.0,270.0,1013.0,light rain,2016,1,1,17,307.44,249.54,284.26019444639303,288.48,256.22,272.00456350402317,1044.0,985.0,1018.0308515482697,1052.0,989.0,1020.4160108548167,20.0,0.0,3.5547586520947183,15.0,0.0,3.697421981004071,100.0,11.0,75.62682149362476,100.0,16.0,76.86024423337857
