,Unnamed: 0,Date and Time,Temperature,Humidity,Wind_Speed,Wind_Direction,Pressure,Weather_Description,Year,Month,Day,Hour,Year Temp Max,Year Temp Min,Year Temp Average,Month Temp Max,Month Temp Min,Month Temp Average,Year Pressure Max,Year Pressure Min,Year Pressure Average,Month Pressure Max,Month Pressure Min,Month Pressure Average,Year Wind_Speed Max,Year Wind_Speed Min,Year Wind_Speed Average,Month Wind_Speed Max,Month Wind_Speed Min,Month Wind_Speed Average,Year Humidity Max,Year Humidity Min,Year Humidity Average,Month Humidity Max,Month Humidity Min,Month Humidity Average
28352,28476,2016-01-01 00:00:00,285.14,62.0,3.0,20.0,1026.0,overcast clouds,2016,1,1,0,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28353,28477,2016-01-01 01:00:00,285.13327481700003,61.0,3.0,20.0,1026.0,overcast clouds,2016,1,1,1,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28354,28478,2016-01-01 02:00:00,284.080637408,61.0,3.0,21.0,1033.0,overcast clouds,2016,1,1,2,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28355,28479,2016-01-01 03:00:00,284.34,81.0,3.0,10.0,1027.0,light rain,2016,1,1,3,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28356,28480,2016-01-01 04:00:00,283.66,76.0,4.0,20.0,1028.0,moderate rain,2016,1,1,4,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28357,28481,2016-01-01 05:00:00,283.64542857099997,75.0,4.0,20.0,1028.0,overcast clouds,2016,1,1,5,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28358,28482,2016-01-01 06:00:00,283.0,76.0,6.0,30.0,1027.0,light rain,2016,1,1,6,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28359,28483,2016-01-01 07:00:00,282.76,76.0,5.0,20.0,1028.0,overcast clouds,2016,1,1,7,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28360,28484,2016-01-01 08:00:00,282.689786985,74.0,5.0,20.0,1029.0,overcast clouds,2016,1,1,8,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28361,28485,2016-01-01 09:00:00,282.41,76.0,6.0,40.0,1027.0,overcast clouds,2016,1,1,9,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28362,28486,2016-01-01 10:00:00,281.79,75.0,5.0,30.0,1029.0,overcast clouds,2016,1,1,10,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28363,28487,2016-01-01 11:00:00,281.82,81.0,6.0,20.0,1029.0,light rain,2016,1,1,11,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28364,28488,2016-01-01 12:00:00,281.43,75.0,5.0,20.0,1029.0,light rain,2016,1,1,12,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28365,28489,2016-01-01 13:00:00,281.21,75.0,7.0,20.0,1029.0,light rain,2016,1,1,13,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28366,28490,2016-01-01 14:00:00,280.94,81.0,6.0,20.0,1031.0,light rain,2016,1,1,14,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28367,28491,2016-01-01 15:00:00,280.91,81.0,6.0,20.0,1031.0,light intensity drizzle,2016,1,1,15,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28368,28492,2016-01-01 16:00:00,281.44,70.0,7.0,30.0,1031.0,light rain,2016,1,1,16,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28369,28493,2016-01-01 17:00:00,281.95,70.0,7.0,20.0,1031.0,light rain,2016,1,1,17,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28370,28494,2016-01-01 18:00:00,281.952362296,69.0,7.0,20.0,1030.0,light rain,2016,1,1,18,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28371,28495,2016-01-01 19:00:00,282.33,66.0,6.0,20.0,1029.0,light rain,2016,1,1,19,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28372,28496,2016-01-01 20:00:00,282.53,66.0,6.0,10.0,1029.0,light rain,2016,1,1,20,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28373,28497,2016-01-01 21:00:00,282.59,66.0,5.0,10.0,1030.0,sky is clear,2016,1,1,21,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
28374,28498,2016-01-01 22:00:00,282.586321903,66.0,5.0,11.0,1030.0,sky is clear,2016,1,1,22,310.825,272.33,294.87898316351766,300.715,267.57,284.95714969651857,1038.0,992.0,1017.769694899818,1052.0,997.0,1023.955934036226,12.0,0.0,2.9131375227686704,13.0,0.0,2.940794809407948,100.0,16.0,74.7198315118397,100.0,15.0,74.20248715869155
