,Unnamed: 0,Date and Time,Temperature,Humidity,Wind_Speed,Wind_Direction,Pressure,Weather_Description,Year,Month,Day,Hour,Year Temp Max,Year Temp Min,Year Temp Average,Month Temp Max,Month Temp Min,Month Temp Average,Year Pressure Max,Year Pressure Min,Year Pressure Average,Month Pressure Max,Month Pressure Min,Month Pressure Average,Year Wind_Speed Max,Year Wind_Speed Min,Year Wind_Speed Average,Month Wind_Speed Max,Month Wind_Speed Min,Month Wind_Speed Average,Year Humidity Max,Year Humidity Min,Year Humidity Average,Month Humidity Max,Month Humidity Min,Month Humidity Average
28139,28476,2016-01-01 00:00:00,289.078882005,17.0,3.0,128.0,1018.0,sky is clear,2016,1,1,0,315.47,269.899,291.47084614068086,301.4,266.503666667,285.5674213390479,1033.0,955.0,1010.2646623391412,1042.0,959.0,1020.5947339847992,17.0,0.0,1.6457123334472157,12.0,0.0,1.1064060803474485,100.0,6.0,63.18745017651748,100.0,5.0,58.35532030401738
28140,28477,2016-01-01 01:00:00,288.14,22.0,5.0,260.0,1018.0,sky is clear,2016,1,1,1,315.47,269.899,291.47084614068086,301.4,266.503666667,285.5674213390479,1033.0,955.0,1010.2646623391412,1042.0,959.0,1020.5947339847992,17.0,0.0,1.6457123334472157,12.0,0.0,1.1064060803474485,100.0,6.0,63.18745017651748,100.0,5.0,58.35532030401738
28141,28478,2016-01-01 02:00:00,281.564463312,33.0,3.0,134.0,1025.0,sky is clear,2016,1,1,2,315.47,269.899,291.47084614068086,301.4,266.503666667,285.5674213390479,1033.0,955.0,1010.2646623391412,1042.0,959.0,1020.5947339847992,17.0,0.0,1.6457123334472157,12.0,0.0,1.1064060803474485,100.0,6.0,63.18745017651748,100.0,5.0,58.35532030401738
28142,28479,2016-01-01 03:00:00,284.27,21.0,1.0,310.0,1018.0,sky is clear,2016,1,1,3,315.47,269.899,291.47084614068086,301.4,266.503666667,285.5674213390479,1033.0,955.0,1010.2646623391412,1042.0,959.0,1020.5947339847992,17.0,0.0,1.6457123334472157,12.0,0.0,1.1064060803474485,100.0,6.0,63.18745017651748,100.0,5.0,58.35532030401738
28143,28480,2016-01-01 04:00:00,283.84231960200003,27.0,1.0,170.0,1018.0,sky is clear,2016,1,1,4,315.47,269.899,291.47084614068086,301.4,266.503666667,285.5674213390479,1033.0,955.0,1010.2646623391412,1042.0,959.0,1020.5947339847992,17.0,0.0,1.6457123334472157,12.0,0.0,1.1064060803474485,100.0,6.0,63.18745017651748,100.0,5.0,58.35532030401738
28144,28481,2016-01-01 05:00:00,283.38,34.0,2.0,20.0,1019.0,sky is clear,2016,1,1,5,315.47,269.899,291.47084614068086,301.4,266.503666667,285.5674213390479,1033.0,955.0,1010.2646623391412,1042.0,959.0,1020.5947339847992,17.0,0.0,1.6457123334472157,12.0,0.0,1.1064060803474485,100.0,6.0,63.18745017651748,100.0,5.0,58.35532030401738
28145,28482,2016-01-01 06:00:00,282.0,32.0,1.0,16.0,1019.0,sky is clear,2016,1,1,6,315.47,269.899,291.47084614068086,301.4,266.503666667,285.5674213390479,1033.0,955.0,1010.2646623391412,1042.0,959.0,1020.5947339847992,17.0,0.0,1.6457123334472157,12.0,0.0,1.1064060803474485,100.0,6.0,63.18745017651748,100.0,5.0,58.35532030401738
28146,28483,2016-01-01 07:00:00,280.74,32.0,1.0,18.0,1019.0,haze,2016,1,1,7,315.47,269.899,291.47084614068086,301.4,266.503666667,285.5674213390479,1033.0,955.0,1010.2646623391412,1042.0,959.0,1020.5947339847992,17.0,0.0,1.6457123334472157,12.0,0.0,1.1064060803474485,100.0,6.0,63.18745017651748,100.0,5.0,58.35532030401738
28147,28484,2016-01-01 08:00:00,279.975154812,33.0,1.0,18.0,1019.0,sky is clear,2016,1,1,8,315.47,269.899,291.47084614068086,301.4,266.503666667,285.5674213390479,1033.0,955.0,1010.2646623391412,1042.0,959.0,1020.5947339847992,17.0,0.0,1.6457123334472157,12.0,0.0,1.1064060803474485,100.0,6.0,63.18745017651748,100.0,5.0,58.35532030401738
28148,28485,2016-01-01 09:00:00,280.23,31.0,1.0,18.0,1019.0,haze,2016,1,1,9,315.47,269.899,291.47084614068086,301.4,266.503666667,285.5674213390479,1033.0,955.0,1010.2646623391412,1042.0,959.0,1020.5947339847992,17.0,0.0,1.6457123334472157,12.0,0.0,1.1064060803474485,100.0,6.0,63.18745017651748,100.0,5.0,58.35532030401738
