,Unnamed: 0,Date and Time,Temperature,Humidity,Wind_Speed,Wind_Direction,Pressure,Weather_Description,Year,Month,Day,Hour,Year Temp Max,Year Temp Min,Year Temp Average,Month Temp Max,Month Temp Min,Month Temp Average,Year Pressure Max,Year Pressure Min,Year Pressure Average,Month Pressure Max,Month Pressure Min,Month Pressure Average,Year Wind_Speed Max,Year Wind_Speed Min,Year Wind_Speed Average,Month Wind_Speed Max,Month Wind_Speed Min,Month Wind_Speed Average,Year Humidity Max,Year Humidity Min,Year Humidity Average,Month Humidity Max,Month Humidity Min,Month Humidity Average
27896,28476,2016-01-01 00:00:00,284.28,54.0,3.0,40.0,1026.0,overcast clouds,2016,1,1,0,310.85,269.54,294.2238071916426,301.87,265.05,283.9729530730154,1039.0,955.0,1013.3669171220401,1055.0,959.0,1023.3018292682927,15.0,0.0,2.9057377049180326,13.0,0.0,2.7807649667405765,100.0,13.0,69.96231785063752,100.0,10.0,65.99778270509978
27897,28477,2016-01-01 01:00:00,284.276815461,53.0,3.0,40.0,1026.0,overcast clouds,2016,1,1,1,310.85,269.54,294.2238071916426,301.87,265.05,283.9729530730154,1039.0,955.0,1013.3669171220401,1055.0,959.0,1023.3018292682927,15.0,0.0,2.9057377049180326,13.0,0.0,2.7807649667405765,100.0,13.0,69.96231785063752,100.0,10.0,65.99778270509978
27898,28478,2016-01-01 02:00:00,283.639907731,53.0,4.0,40.0,1033.0,overcast clouds,2016,1,1,2,310.85,269.54,294.2238071916426,301.87,265.05,283.9729530730154,1039.0,955.0,1013.3669171220401,1055.0,959.0,1023.3018292682927,15.0,0.0,2.9057377049180326,13.0,0.0,2.7807649667405765,100.0,13.0,69.96231785063752,100.0,10.0,65.99778270509978
27899,28479,2016-01-01 03:00:00,283.69,57.0,6.0,50.0,1027.0,overcast clouds,2016,1,1,3,310.85,269.54,294.2238071916426,301.87,265.05,283.9729530730154,1039.0,955.0,1013.3669171220401,1055.0,959.0,1023.3018292682927,15.0,0.0,2.9057377049180326,13.0,0.0,2.7807649667405765,100.0,13.0,69.96231785063752,100.0,10.0,65.99778270509978
27900,28480,2016-01-01 04:00:00,283.39,57.0,4.0,40.0,1028.0,overcast clouds,2016,1,1,4,310.85,269.54,294.2238071916426,301.87,265.05,283.9729530730154,1039.0,955.0,1013.3669171220401,1055.0,959.0,1023.3018292682927,15.0,0.0,2.9057377049180326,13.0,0.0,2.7807649667405765,100.0,13.0,69.96231785063752,100.0,10.0,65.99778270509978
27901,28481,2016-01-01 05:00:00,283.367863014,56.0,4.0,39.0,1028.0,overcast clouds,2016,1,1,5,310.85,269.54,294.2238071916426,301.87,265.05,283.9729530730154,1039.0,955.0,1013.3669171220401,1055.0,959.0,1023.3018292682927,15.0,0.0,2.9057377049180326,13.0,0.0,2.7807649667405765,100.0,13.0,69.96231785063752,100.0,10.0,65.99778270509978
27902,28482,2016-01-01 06:00:00,282.91,57.0,3.0,30.0,1026.0,overcast clouds,2016,1,1,6,310.85,269.54,294.2238071916426,301.87,265.05,283.9729530730154,1039.0,955.0,1013.3669171220401,1055.0,959.0,1023.3018292682927,15.0,0.0,2.9057377049180326,13.0,0.0,2.7807649667405765,100.0,13.0,69.96231785063752,100.0,10.0,65.99778270509978
27903,28483,2016-01-01 07:00:00,282.73,61.0,3.0,40.0,1028.0,overcast clouds,2016,1,1,7,310.85,269.54,294.2238071916426,301.87,265.05,283.9729530730154,1039.0,955.0,1013.3669171220401,1055.0,959.0,1023.3018292682927,15.0,0.0,2.9057377049180326,13.0,0.0,2.7807649667405765,100.0,13.0,69.96231785063752,100.0,10.0,65.99778270509978
27904,28484,2016-01-01 08:00:00,282.591318494,60.0,3.0,39.0,1029.0,overcast clouds,2016,1,1,8,310.85,269.54,294.2238071916426,301.87,265.05,283.9729530730154,1039.0,955.0,1013.3669171220401,1055.0,959.0,1023.3018292682927,15.0,0.0,2.9057377049180326,13.0,0.0,2.7807649667405765,100.0,13.0,69.96231785063752,100.0,10.0,65.99778270509978
27905,28485,2016-01-01 09:00:00,282.64,61.0,5.0,30.0,1028.0,overcast clouds,2016,1,1,9,310.85,269.54,294.2238071916426,301.87,265.05,283.9729530730154,1039.0,955.0,1013.3669171220401,1055.0,959.0,1023.3018292682927,15.0,0.0,2.9057377049180326,13.0,0.0,2.7807649667405765,100.0,13.0,69.96231785063752,100.0,10.0,65.99778270509978
