,Unnamed: 0,Date and Time,Temperature,Humidity,Wind_Speed,Wind_Direction,Pressure,Weather_Description,Year,Month,Day,Hour,Year Temp Max,Year Temp Min,Year Temp Average,Month Temp Max,Month Temp Min,Month Temp Average,Year Pressure Max,Year Pressure Min,Year Pressure Average,Month Pressure Max,Month Pressure Min,Month Pressure Average,Year Wind_Speed Max,Year Wind_Speed Min,Year Wind_Speed Average,Month Wind_Speed Max,Month Wind_Speed Min,Month Wind_Speed Average,Year Humidity Max,Year Humidity Min,Year Humidity Average,Month Humidity Max,Month Humidity Min,Month Humidity Average
28182,28476,2016-01-01 00:00:00,276.846558844,70.0,2.0,27.0,1035.0,sky is clear,2016,1,1,0,306.07,266.66,284.7303417475961,287.743,264.97,277.6740214935323,1041.0,987.0,1017.3508652094716,1057.0,985.0,1023.1987868762062,13.0,0.0,2.3594034608378864,11.0,0.0,1.7369727047146402,100.0,19.0,80.17440801457195,100.0,19.0,85.57237386269644
28183,28477,2016-01-01 01:00:00,275.93,86.0,1.0,15.0,1035.0,sky is clear,2016,1,1,1,306.07,266.66,284.7303417475961,287.743,264.97,277.6740214935323,1041.0,987.0,1017.3508652094716,1057.0,985.0,1023.1987868762062,13.0,0.0,2.3594034608378864,11.0,0.0,1.7369727047146402,100.0,19.0,80.17440801457195,100.0,19.0,85.57237386269644
28184,28478,2016-01-01 02:00:00,273.07816949200003,92.0,1.0,36.0,1041.0,sky is clear,2016,1,1,2,306.07,266.66,284.7303417475961,287.743,264.97,277.6740214935323,1041.0,987.0,1017.3508652094716,1057.0,985.0,1023.1987868762062,13.0,0.0,2.3594034608378864,11.0,0.0,1.7369727047146402,100.0,19.0,80.17440801457195,100.0,19.0,85.57237386269644
28185,28479,2016-01-01 03:00:00,273.01,92.0,2.0,21.0,1035.0,sky is clear,2016,1,1,3,306.07,266.66,284.7303417475961,287.743,264.97,277.6740214935323,1041.0,987.0,1017.3508652094716,1057.0,985.0,1023.1987868762062,13.0,0.0,2.3594034608378864,11.0,0.0,1.7369727047146402,100.0,19.0,80.17440801457195,100.0,19.0,85.57237386269644
28186,28480,2016-01-01 04:00:00,272.505446023,72.0,2.0,53.0,1034.0,sky is clear,2016,1,1,4,306.07,266.66,284.7303417475961,287.743,264.97,277.6740214935323,1041.0,987.0,1017.3508652094716,1057.0,985.0,1023.1987868762062,13.0,0.0,2.3594034608378864,11.0,0.0,1.7369727047146402,100.0,19.0,80.17440801457195,100.0,19.0,85.57237386269644
28187,28481,2016-01-01 05:00:00,271.95,50.0,2.0,90.0,1034.0,haze,2016,1,1,5,306.07,266.66,284.7303417475961,287.743,264.97,277.6740214935323,1041.0,987.0,1017.3508652094716,1057.0,985.0,1023.1987868762062,13.0,0.0,2.3594034608378864,11.0,0.0,1.7369727047146402,100.0,19.0,80.17440801457195,100.0,19.0,85.57237386269644
28188,28482,2016-01-01 06:00:00,271.47,100.0,2.0,50.0,1034.0,sky is clear,2016,1,1,6,306.07,266.66,284.7303417475961,287.743,264.97,277.6740214935323,1041.0,987.0,1017.3508652094716,1057.0,985.0,1023.1987868762062,13.0,0.0,2.3594034608378864,11.0,0.0,1.7369727047146402,100.0,19.0,80.17440801457195,100.0,19.0,85.57237386269644
28189,28483,2016-01-01 07:00:00,270.84,79.0,1.0,79.0,1034.0,sky is clear,2016,1,1,7,306.07,266.66,284.7303417475961,287.743,264.97,277.6740214935323,1041.0,987.0,1017.3508652094716,1057.0,985.0,1023.1987868762062,13.0,0.0,2.3594034608378864,11.0,0.0,1.7369727047146402,100.0,19.0,80.17440801457195,100.0,19.0,85.57237386269644
28190,28484,2016-01-01 08:00:00,270.668346874,80.0,1.0,80.0,1034.0,sky is clear,2016,1,1,8,306.07,266.66,284.7303417475961,287.743,264.97,277.6740214935323,1041.0,987.0,1017.3508652094716,1057.0,985.0,1023.1987868762062,13.0,0.0,2.3594034608378864,11.0,0.0,1.7369727047146402,100.0,19.0,80.17440801457195,100.0,19.0,85.57237386269644
28191,28485,2016-01-01 09:00:00,270.49,85.0,1.0,79.0,1034.0,mist,2016,1,1,9,306.07,266.66,284.7303417475961,287.743,264.97,277.6740214935323,1041.0,987.0,1017.3508652094716,1057.0,985.0,1023.1987868762062,13.0,0.0,2.3594034608378864,11.0,0.0,1.7369727047146402,100.0,19.0,80.17440801457195,100.0,19.0,85.57237386269644
